filename,hardware,model_size,arrival_rate,run_id,throughput_rps,avg_e2e_latency,avg_ttft,avg_tbt,total_requests,successful_requests,hourly_cost,cost_per_1k_req
ar.26_13b_1xgh200.jsonl,1xgh200,13b,26.0,0,2.6390091279927654,1323.2987014437954,1300.9281428446059,0.03468786380732524,7866,7866,1.49,0.1568349591892823
ar.1_13b_1xh100_0.jsonl,1xh100,13b,1.0,0,0.9686150309213801,8.958461465576892,0.08229873871791915,0.01371194895955006,298,298,0.288,0.0825921521410846
ar.2_13b_1xh100_0.jsonl,1xh100,13b,2.0,0,1.8345300051136528,21.410285846261917,0.24348092955454476,0.032718292735641835,595,595,0.288,0.04360789944945263
ar.3_13b_1xh100_0.jsonl,1xh100,13b,3.0,0,1.964101112542322,163.49244737923334,132.7991564591871,0.0479565678519879,1188,1187,0.288,0.040731100598201085
ar.4_13b_1xh100_0.jsonl,1xh100,13b,4.0,0,1.9587614522137637,164.00982223982302,133.24069090297309,0.048062287436939834,1188,1187,0.288,0.040842135171480505
ar.6.5_13b_1xh100_0.jsonl,1xh100,13b,6.5,0,1.9882945274764654,324.80185126220545,294.2184163931016,0.04715127264310978,1880,1879,0.288,0.04023548769785915
ar.13_13b_1xh100_0.jsonl,1xh100,13b,13.0,0,1.9501372755946365,832.3508537209751,801.072146933574,0.04891576306895473,3813,3813,0.288,0.04102275311649862
ar.26_13b_1xh100_0.jsonl,1xh100,13b,26.0,0,1.9347622533214996,1861.7161868304909,1830.2357849116167,0.04850999129156427,7866,7866,0.288,0.0413487496268134
ar.1_13b_2x3090_0.jsonl,2x3090,13b,1.0,0,0.6568272298406601,85.25872426605534,58.134430377683195,0.04314813643281301,298,298,0.117,0.04948028724065564
ar.2_13b_2x3090_0.jsonl,2x3090,13b,2.0,0,0.6145101951385534,319.95037731262033,290.35812839635435,0.04563184918656291,595,595,0.117,0.05288764980159888
ar.3_13b_2x3090_0.jsonl,2x3090,13b,3.0,0,0.6304623692607348,544.4139102486885,514.5991860189466,0.047176096884905726,897,897,0.117,0.051549468429192266
ar.4_13b_2x3090_0.jsonl,2x3090,13b,4.0,0,0.6376825382618555,762.7981848782626,733.1885280443748,0.04585381088215319,1188,1187,0.117,0.05096579888887334
ar.6.5_13b_2x3090_0.jsonl,2x3090,13b,6.5,0,0.6353281757887423,1297.5290555868312,1266.871942741207,0.0464058100880096,1880,1879,0.117,0.05115466500388111
ar.13_13b_2x3090_0.jsonl,2x3090,13b,13.0,0,0.6307763790017895,2810.701437386602,2781.7025186572464,0.04576499279487043,3813,3813,0.117,0.05152380634707915
ar.26_13b_2x3090_0.jsonl,2x3090,13b,26.0,0,0.6154964874996312,6085.258581140426,6055.402447865252,0.04693207340936768,7866,7866,0.117,0.05280290084518066
ar.1_13b_2xa100.jsonl,2xa100,13b,1.0,0,0.9593862345471484,10.91609647102333,0.09949557931195037,0.0168524121561503,298,298,0.29,0.08396571959736275
ar.2_13b_2xa100.jsonl,2xa100,13b,2.0,0,1.8311427243018366,18.911271706856997,0.13677707851087642,0.02739787981146636,595,595,0.29,0.04399195894807661
ar.3_13b_2xa100.jsonl,2xa100,13b,3.0,0,2.382163742176859,57.00501316013505,12.88517689950175,0.06533756583581848,897,897,0.29,0.03381612864359299
ar.4_13b_2xa100.jsonl,2xa100,13b,4.0,0,2.400551362797843,113.4504044492914,65.3884440114404,0.07343418854887872,1188,1187,0.29,0.03355710558997081
ar.6.5_13b_2xa100.jsonl,2xa100,13b,6.5,0,2.4538137066946115,245.07195171952927,196.55391923528913,0.07433719095395955,1880,1879,0.29,0.03282871692165548
ar.13_13b_2xa100.jsonl,2xa100,13b,13.0,0,2.444079922863207,639.1438327625476,589.6888950077637,0.07666466200460775,3813,3813,0.29,0.032959460450534606
ar.26_13b_2xa100.jsonl,2xa100,13b,26.0,0,2.3966199668852792,1484.6372929001172,1434.1170044216942,0.07584825666133208,7866,7866,0.29,0.03361215239320901
ar.1_13b_2xgh200.jsonl,2xgh200,13b,1.0,0,0.9868428469281587,4.2810648717146345,0.04785458907120136,0.006581455177379227,298,298,2.98,0.8388141844007704
